"asile","Rack number","key","en","te","hi","keywords"
"1","1","24-mantra-garam-masala","Garam Masala","గరమ్ మసాలా","गरम मसाला","['garam masala', 'గరమ్ మసాలా', 'गरम मसाला']"
"1","2","24-mantra-organic-basmati-brown-rice-10-lb","24 Mantra Organic Basmati Brown Rice 10 lb","24 మంత్ర ఆర్గానిక్ బాస్మతి బ్రౌన్ రైస్ 10 లీబర్స్","24 मंत्र ऑर्गेनिक बासमती ब्राउन राइस 10 पाउंड","basmati brown rice, 24 mantra, organic"
"1","3","24-mantra-organic-coconut-sugar-500-gms","24 Mantra Organic Coconut Sugar 500 gms","24 మంత్ర ఆర్గానిక్ కొబ్బరి చక్కెర 500 గ్రా","24 मंत्र ऑर्गेनिक कोकोनट शुगर 500 ग्राम","coconut sugar, 24 mantra, organic"
"1","4","24-mantra-organic-gongura-pickle-with-garlic-300-gms","24 Mantra Organic Gongura Pickle with Garlic 300 gms","24 మంత్ర ఆర్గానిక్ గోంగూర పచ్చడి గార్లిక్‌తో 300 గ్రా","24 मंत्र ऑर्गेनिक गोंगूरा अचार गार्लिक के साथ 300 ग्राम","gongura pickle, garlic, 24 mantra, organic"
"1","5","24-mantra-organic-multigrain-atta-4-kg","24 Mantra Organic Multigrain Atta 4 kg","24 మంత్ర ఆర్గానిక్ మల్టీ గ్రేన్ అట్టా 4 కిలోగ్రాములు","24 मंत्र ऑर्गेनिक मल्टीग्रेन आटा 4 किलोग्राम","multigrain atta, 24 mantra, organic"
"1","6","24-mantra-organic-ponni-paraboiled-rice","24 Mantra Organic Ponni Paraboiled Rice","24 మంత్ర ఆర్గానిక్ పొన్ని పారాబైల్ రైస్","24 मंत्र ऑर्गेनिक पोन्नी पैराबॉयल्ड राइस","ponni paraboiled rice, 24 mantra, organic"
"1","7","24-mantra-organic-ponni-raw-rice-10-lb","24 Mantra Organic Ponni Raw Rice 10 lb","24 మంత్ర ఆర్గానిక్ పొన్ని రావ్ బీరు 10 లీబర్స్","24 मंत्र ऑर्गेनिक पोन्नी रॉ राइस 10 पाउंड","['ponni rice', 'raw rice', '24 mantra', 'organic']"
"1","8","24-mantra-organic-sona-masuri-rice-10-lb","24 Mantra Organic Sona Masuri Rice 10 lb","24 మంత్ర ఆర్గానిక్ సోనా మసూరి బీరు 10 లీబర్స్","24 मंत्र ऑर्गेनिक सोना मसूरी राइस 10 पाउंड","['sona masuri rice', '24 mantra', 'organic']"
"1","9","24-mantra-tomato-pickle","24 Mantra Tomato Pickle","24 మంత్ర తమలపాకు పచ్చడి","24 मंत्र टमाटर अचार","['tomato pickle', '24 mantra']"
"1","10","24-mantra-urad-whole","24 Mantra Urad Whole","24 మంత్ర ఉరద్ పూర్తి","24 मंत्र उरद पूरी","['urad whole', '24 mantra']"
"1","11","50-50-maska-chaska","50-50 Maska Chaska","50-50 మస్కా చాస్కా","50-50 मस्का चास्का","['masala', 'spice blend', '50-50']"
"1","12","aachi-garlic-pickle","Aachi Garlic Pickle","ఆచ్చి వెల్లుల్లి పచ్చడి","आची लहसुन की अचार","['garlic pickle', 'aachi pickle', 'velulli pacchadi']"
"1","13","aachi-ginger-pickle","Aachi Ginger Pickle","ఆచ్చి ఆదుకూర పచ్చడి","आची अदरक की अचार","['ginger pickle', 'aachi pickle', 'adukura pacchadi']"
"1","14","aachi-idiyappam-powder","Aachi Idiyappam Powder","ఆచ్చి ఇడియప్పం పావురు","आची इडियप्पम पाउडर","['idiyappam powder', 'aachi idiyappam', 'idippam powder']"
"1","15","aachi-kadai-chicken-masala","Aachi Kadai Chicken Masala","ఆచ్చి కడాయి చికెన్ మసాలా","आची कढाई चिकन मसाला","['kadai chicken masala', 'aachi chicken masala', 'chicken masala']"
"1","16","aachi-mutton-curry-masala","Aachi Mutton Curry Masala","ఆచ్చి మేక కూర మసాలా","आची मटन करी मसाला","['mutton curry masala', 'aachi mutton masala', 'mutton masala']"
"1","17","aachi-puttu-powder","Aachi Puttu Powder","ఆచ్చి పుట్టు పొడి","आची पुट्टू पाउडर","puttu powder, aachi puttu powder"
"1","18","aachi-rasam-powder","Aachi Rasam Powder","ఆచ్చి రసం పొడి","आची रसम पाउडर","rasam powder, aachi rasam powder"
"1","19","aahu-barah","Aahu Barah","ఆహు బరాహ్","आहू बराह","aahu barah, barah"
"1","20","aara-brown-sugar","Aara Brown Sugar","ఆరా బ్రౌన్ శర్కర","आरा ब्राउन शुगर","brown sugar, aara brown sugar"
"1","21","aas-pas-panmasala","Aas Pas Panmasala","ఆస్ పాస్ పన్మసాల","आस पास पनमसाला","panmasala, aas pas panmasala"
"1","22","aashirvaad","Aashirvaad","ఆశిర్వాద్","आशीर्वाद","['aashirvaad', 'atta']"
"1","23","aashirvaad-20-lbs","Aashirvaad 20 lbs","ఆశిర్వాద్ 20 లీబుల్స్","आशीर्वाद 20 पाउंड","['aashirvaad', '20 lbs', 'atta']"
"1","24","aashirvaad-multigrain-atta","Aashirvaad Multigrain Atta","ఆశిర్వాద్ మల్టీ గ్రేన్ అట్ట","आशीर्वाद मल्टीग्रेन आटा","['aashirvaad', 'multigrain', 'atta']"
"1","25","aashirvad-multigrain-atta-10-lbs","Aashirvad Multigrain Atta 10 lbs","ఆశిర్వాద్ మల్టీ గ్రేన్ అట్ట 10 లీబుల్స్","आशीर्वाद मल्टीग्रेन आटा 10 पाउंड","['aashirvad', 'multigrain', '10 lbs', 'atta']"
"1","26","aashirvad-select-sharbati-atta-whole-wheat-10-lbs","Aashirvad Select Sharbati Atta Whole Wheat 10 lbs","ఆశిర్వాద్ సెలెక్ట్ షర్బతి అట్ట వ్హోల్ వీట్ 10 లీబుల్స్","आशीर्वाद सेलेक्ट शरबती आटा व्होल व्हीट 10 पाउंड","['aashirvad', 'select', 'sharbati', 'atta', 'whole wheat', '10 lbs']"
"1","27","aashirvad-sharbati-whole-wheat-atta","Aashirvad Sharbati Whole Wheat Atta","ఆశిర్వాద్ శర్బతి వెల్లుల్లి రొట్టె మిఠ్తా","आशीर्वाद शर्बती गेहूं का आटा","['whole wheat atta', 'ashirvad sharbati']"
"1","28","aata","Aata","ఆటా","आटा","['atta', 'wheat flour']"
"1","29","ab-mathura-peda","AB Mathura Peda","ఎబి మధుర పెడ","एबी मथुरा पेड़ा","['mathura peda', 'milk sweets']"
"1","30","achari-chicken","Achari Chicken","అచారి చికెన్","अचारी चिकन","['achari chicken', 'spicy chicken']"
"2","1","achi-pav-bhaji","Achi Pav Bhaji","అచ్చి పావ్ భజీ","अच्ची पाव भजी","['pav bhaji', 'mumbai street food']"
"2","2","advil-200-mg-2-tablets","Advil 200 mg 2 Tablets","అడ్విల్ 200 ఎంజీ 2 టేబులెట్లు","अडविल 200 एमजी 2 टैबलेट","['Advil', 'Pain Reliever']"
"2","3","agar-agar","Agar Agar","అగర్ అగర్","अगर-अगार","['Agar Agar', 'Vegetable Gelatin']"
"2","4","agar-agar-china-grass","Agar Agar China Grass","అగర్ అగర్ చైనా గ్రాస్","अगर-अगार चीना घास","['Agar Agar', 'China Grass']"
"2","5","aged-basmati-rice-10-lb","Aged Basmati Rice 10 lb","పాత బాస్మతి బియ్యం 10 లీబర్లు","पुराना बासमती चावल 10 पाउंड","['Basmati Rice', 'Aged Rice']"
"2","6","ajma-dates","Ajma Dates","అజ్మా దాతువులు","अज्मा की तारीखें","['Ajma Dates', 'Medjool Dates']"
"2","7","ajwain","Ajwain","అజ్వైన్","अजवाइन","['ajwain', 'carom seeds']"
"2","8","ajwain-paratha","Ajwain Paratha","అజ్వైన్ పరాఠా","अजवाइन पराठा","['ajwain paratha', 'carom seeds flatbread']"
"2","9","ajwain-paratha-deep","Deep Ajwain Paratha","డీప్ అజ్వైన్ పరాఠా","डीप अजवाइन पराठा","['deep ajwain paratha', 'deep carom seeds flatbread']"
"2","10","ajwain-salted-biscuits","Ajwain Salted Biscuits","అజ్వైన్ సల్టెడ్ బిస్కట్స్","अजवाइन नमकीन बिस्कुट","['ajwain biscuits', 'carom seeds biscuits', 'salted biscuits']"
"2","11","ajwain-seeds","Ajwain Seeds","అజ్వైన్ బీజాలు","अजवाइन के बीज","['ajwain seeds', 'carom seeds']"
"2","12","aleve-1-caplet","Aleve 1 Caplet","ఏలివ్ 1 క్యాప్లెట్","एलीवे 1 कैपलेट","['Aleve', 'Pain Reliever']"
"2","13","allegro-olive","Allegro Olive Oil","అలెగ్రో ఆలివ్ ఆయిల్","अलेग्रो ऑलिव ऑयल","['Allegro', 'Olive Oil']"
"2","14","almond","Almond","ఆల్మండ్","बादाम","['Almond', 'Badaam']"
"2","15","almonds","Almonds","ఆల్మండ్స్","बादाम","['Almonds', 'Badaam']"
"2","16","alomand","Almond","అల్మండ్","बादाम","['almond', 'badam']"
"2","17","aloo-achari","Aloo Achari","ఆలూ అచారీ","आलू अचारी","['Aloo', 'Achari']"
"2","18","aloo-bghujhi","Potato Cauliflower","బఠాని కాల్ఫ్లవర్","आलू कालफ्लावर","['potato cauliflower', 'aloo bghujhi']"
"2","19","aloo-gobhi","Potato Gobhi","బఠాని గోభి","आलू गोबी","['potato gobhi', 'aloo gobhi']"
"2","20","aloo-paratha","Potato Paratha","బఠాని పరాతా","आलू पराठा","['potato paratha', 'aloo paratha']"
"2","21","aloo-paratha-bulk","Bulk Potato Paratha","బఠాని పరాతా బల్క్","आलू पराठा बुल्क","['bulk potato paratha', 'aloo paratha bulk']"
"2","22","aloo-pyaz-paratha","Potato Onion Paratha","బఠాని ప్యాజ్ పరాతా","आलू प्याज पराठा","['potato onion paratha', 'aloo pyaz paratha']"
"2","23","alphanjo-mango","Alphonso Mango","అల్ఫోన్సో మాంగో","अल्फोंसो आम","['Alphonso Mango', 'Alphonso Mango Fruit']"
"2","24","alphanso-mango-icecream","Alphonso Mango Ice Cream","అల్ఫోన్సో మాంగో ఐస్ క్రీం","अल्फोंसो आम आइसक्रीम","['Alphonso Mango Ice Cream', 'Alphonso Mango Dessert']"
"2","25","alphonso-cup","Alphonso Cup","అల్ఫోన్సో కప్","अल्फोंसो कप","['Alphonso Cup', 'Alphonso Container']"
"2","26","alphonso-mango","Alphonso Mango","అల్ఫోన్సో మాంగో","अल्फोंसो मैंगो","Alphonso Mango, Mango, Fruit"
