key,en,te,hi,keywords,aisle,rack
24-mantra-garam-masala,Garam Masala,గరమ్ మసాలా,गरम मसाला,"['garam masala', 'గరమ్ మసాలా', 'गरम मसाला']",1,1
24-mantra-organic-basmati-brown-rice-10-lb,24 Mantra Organic Basmati Brown Rice 10 lb,24 మంత్ర ఆర్గానిక్ బాస్మతి బ్రౌన్ రైస్ 10 లీబర్స్,24 मंत्र ऑर्गेनिक बासमती ब्राउन राइस 10 पाउंड,"basmati brown rice, 24 mantra, organic",1,2
24-mantra-organic-coconut-sugar-500-gms,24 Mantra Organic Coconut Sugar 500 gms,24 మంత్ర ఆర్గానిక్ కొబ్బరి చక్కెర 500 గ్రా,24 मंत्र ऑर्गेनिक कोकोनट शुगर 500 ग्राम,"coconut sugar, 24 mantra, organic",1,3
24-mantra-organic-gongura-pickle-with-garlic-300-gms,24 Mantra Organic Gongura Pickle with Garlic 300 gms,24 మంత్ర ఆర్గానిక్ గోంగూర పచ్చడి గార్లిక్‌తో 300 గ్రా,24 मंत्र ऑर्गेनिक गोंगूरा अचार गार्लिक के साथ 300 ग्राम,"gongura pickle, garlic, 24 mantra, organic",1,4
24-mantra-organic-multigrain-atta-4-kg,24 Mantra Organic Multigrain Atta 4 kg,24 మంత్ర ఆర్గానిక్ మల్టీ గ్రేన్ అట్టా 4 కిలోగ్రాములు,24 मंत्र ऑर्गेनिक मल्टीग्रेन आटा 4 किलोग्राम,"multigrain atta, 24 mantra, organic",1,5
24-mantra-organic-ponni-paraboiled-rice,24 Mantra Organic Ponni Paraboiled Rice,24 మంత్ర ఆర్గానిక్ పొన్ని పారాబైల్ రైస్,24 मंत्र ऑर्गेनिक पोन्नी पैराबॉयल्ड राइस,"ponni paraboiled rice, 24 mantra, organic",1,6
24-mantra-organic-ponni-raw-rice-10-lb,24 Mantra Organic Ponni Raw Rice 10 lb,24 మంత్ర ఆర్గానిక్ పొన్ని రావ్ బీరు 10 లీబర్స్,24 मंत्र ऑर्गेनिक पोन्नी रॉ राइस 10 पाउंड,"['ponni rice', 'raw rice', '24 mantra', 'organic']",1,7
24-mantra-organic-sona-masuri-rice-10-lb,24 Mantra Organic Sona Masuri Rice 10 lb,24 మంత్ర ఆర్గానిక్ సోనా మసూరి బీరు 10 లీబర్స్,24 मंत्र ऑर्गेनिक सोना मसूरी राइस 10 पाउंड,"['sona masuri rice', '24 mantra', 'organic']",1,8
24-mantra-tomato-pickle,24 Mantra Tomato Pickle,24 మంత్ర తమలపాకు పచ్చడి,24 मंत्र टमाटर अचार,"['tomato pickle', '24 mantra']",1,9
24-mantra-urad-whole,24 Mantra Urad Whole,24 మంత్ర ఉరద్ పూర్తి,24 मंत्र उरद पूरी,"['urad whole', '24 mantra']",1,10
50-50-maska-chaska,50-50 Maska Chaska,50-50 మస్కా చాస్కా,50-50 मस्का चास्का,"['masala', 'spice blend', '50-50']",1,11
a1-cassava,A1 Cassava,,,a1-cassava,,
aachi-garlic-pickle,Aachi Garlic Pickle,ఆచ్చి వెల్లుల్లి పచ్చడి,आची लहसुन की अचार,"['garlic pickle', 'aachi pickle', 'velulli pacchadi']",1,12
aachi-ginger-pickle,Aachi Ginger Pickle,ఆచ్చి ఆదుకూర పచ్చడి,आची अदरक की अचार,"['ginger pickle', 'aachi pickle', 'adukura pacchadi']",1,13
aachi-idiyappam-powder,Aachi Idiyappam Powder,ఆచ్చి ఇడియప్పం పావురు,आची इडियप्पम पाउडर,"['idiyappam powder', 'aachi idiyappam', 'idippam powder']",1,14
aachi-kadai-chicken-masala,Aachi Kadai Chicken Masala,ఆచ్చి కడాయి చికెన్ మసాలా,आची कढाई चिकन मसाला,"['kadai chicken masala', 'aachi chicken masala', 'chicken masala']",1,15
aachi-mutton-curry-masala,Aachi Mutton Curry Masala,ఆచ్చి మేక కూర మసాలా,आची मटन करी मसाला,"['mutton curry masala', 'aachi mutton masala', 'mutton masala']",1,16
aachi-puttu-powder,Aachi Puttu Powder,ఆచ్చి పుట్టు పొడి,आची पुट्टू पाउडर,"puttu powder, aachi puttu powder",1,17
aachi-rasam-powder,Aachi Rasam Powder,ఆచ్చి రసం పొడి,आची रसम पाउडर,"rasam powder, aachi rasam powder",1,18
aahu-barah,Aahu Barah,ఆహు బరాహ్,आहू बराह,"aahu barah, barah",1,19
aara-brown-sugar,Aara Brown Sugar,ఆరా బ్రౌన్ శర్కర,आरा ब्राउन शुगर,"brown sugar, aara brown sugar",1,20
aas-pas-panmasala,Aas Pas Panmasala,ఆస్ పాస్ పన్మసాల,आस पास पनमसाला,"panmasala, aas pas panmasala",1,21
aashirvaad,Aashirvaad,ఆశిర్వాద్,आशीर्वाद,"['aashirvaad', 'atta']",1,22
aashirvaad-20-lbs,Aashirvaad 20 lbs,ఆశిర్వాద్ 20 లీబుల్స్,आशीर्वाद 20 पाउंड,"['aashirvaad', '20 lbs', 'atta']",1,23
aashirvaad-multigrain-atta,Aashirvaad Multigrain Atta,ఆశిర్వాద్ మల్టీ గ్రేన్ అట్ట,आशीर्वाद मल्टीग्रेन आटा,"['aashirvaad', 'multigrain', 'atta']",1,24
aashirvad-multigrain-atta-10-lbs,Aashirvad Multigrain Atta 10 lbs,ఆశిర్వాద్ మల్టీ గ్రేన్ అట్ట 10 లీబుల్స్,आशीर्वाद मल्टीग्रेन आटा 10 पाउंड,"['aashirvad', 'multigrain', '10 lbs', 'atta']",1,25
aashirvad-select-sharbati-atta-whole-wheat-10-lbs,Aashirvad Select Sharbati Atta Whole Wheat 10 lbs,ఆశిర్వాద్ సెలెక్ట్ షర్బతి అట్ట వ్హోల్ వీట్ 10 లీబుల్స్,आशीर्वाद सेलेक्ट शरबती आटा व्होल व्हीट 10 पाउंड,"['aashirvad', 'select', 'sharbati', 'atta', 'whole wheat', '10 lbs']",1,26
aashirvad-sharbati-whole-wheat-atta,Aashirvad Sharbati Whole Wheat Atta,ఆశిర్వాద్ శర్బతి వెల్లుల్లి రొట్టె మిఠ్తా,आशीर्वाद शर्बती गेहूं का आटा,"['whole wheat atta', 'ashirvad sharbati']",1,27
aata,Aata,ఆటా,आटा,"['atta', 'wheat flour']",1,28
ab-mathura-peda,AB Mathura Peda,ఎబి మధుర పెడ,एबी मथुरा पेड़ा,"['mathura peda', 'milk sweets']",1,29
achari-chicken,Achari Chicken,అచారి చికెన్,अचारी चिकन,"['achari chicken', 'spicy chicken']",1,30
achi-pav-bhaji,Achi Pav Bhaji,అచ్చి పావ్ భజీ,अच्ची पाव भजी,"['pav bhaji', 'mumbai street food']",2,1
advil-200-mg-2-tablets,Advil 200 mg 2 Tablets,అడ్విల్ 200 ఎంజీ 2 టేబులెట్లు,अडविल 200 एमजी 2 टैबलेट,"['Advil', 'Pain Reliever']",2,2
agar-agar,Agar Agar,అగర్ అగర్,अगर-अगार,"['Agar Agar', 'Vegetable Gelatin']",2,3
agar-agar-china-grass,Agar Agar China Grass,అగర్ అగర్ చైనా గ్రాస్,अगर-अगार चीना घास,"['Agar Agar', 'China Grass']",2,4
aged-basmati-rice-10-lb,Aged Basmati Rice 10 lb,పాత బాస్మతి బియ్యం 10 లీబర్లు,पुराना बासमती चावल 10 पाउंड,"['Basmati Rice', 'Aged Rice']",2,5
ajma-dates,Ajma Dates,అజ్మా దాతువులు,अज्मा की तारीखें,"['Ajma Dates', 'Medjool Dates']",2,6
ajwain,Ajwain,అజ్వైన్,अजवाइन,"['ajwain', 'carom seeds']",2,7
ajwain-paratha,Ajwain Paratha,అజ్వైన్ పరాఠా,अजवाइन पराठा,"['ajwain paratha', 'carom seeds flatbread']",2,8
ajwain-paratha-deep,Deep Ajwain Paratha,డీప్ అజ్వైన్ పరాఠా,डीप अजवाइन पराठा,"['deep ajwain paratha', 'deep carom seeds flatbread']",2,9
ajwain-salted-biscuits,Ajwain Salted Biscuits,అజ్వైన్ సల్టెడ్ బిస్కట్స్,अजवाइन नमकीन बिस्कुट,"['ajwain biscuits', 'carom seeds biscuits', 'salted biscuits']",2,10
ajwain-seeds,Ajwain Seeds,అజ్వైన్ బీజాలు,अजवाइन के बीज,"['ajwain seeds', 'carom seeds']",2,11
aleve-1-caplet,Aleve 1 Caplet,ఏలివ్ 1 క్యాప్లెట్,एलीवे 1 कैपलेट,"['Aleve', 'Pain Reliever']",2,12
allegro-olive,Allegro Olive Oil,అలెగ్రో ఆలివ్ ఆయిల్,अलेग्रो ऑलिव ऑयल,"['Allegro', 'Olive Oil']",2,13
almond,Almond,ఆల్మండ్,बादाम,"['Almond', 'Badaam']",2,14
almonds,Almonds,ఆల్మండ్స్,बादाम,"['Almonds', 'Badaam']",2,15
alomand,Almond,అల్మండ్,बादाम,"['almond', 'badam']",2,16
aloo-achari,Aloo Achari,ఆలూ అచారీ,आलू अचारी,"['Aloo', 'Achari']",2,17
aloo-bghujhi,Potato Cauliflower,బఠాని కాల్ఫ్లవర్,आलू कालफ्लावर,"['potato cauliflower', 'aloo bghujhi']",2,18
aloo-gobhi,Potato Gobhi,బఠాని గోభి,आलू गोबी,"['potato gobhi', 'aloo gobhi']",2,19
aloo-paratha,Potato Paratha,బఠాని పరాతా,आलू पराठा,"['potato paratha', 'aloo paratha']",2,20
aloo-paratha-bulk,Bulk Potato Paratha,బఠాని పరాతా బల్క్,आलू पराठा बुल्क,"['bulk potato paratha', 'aloo paratha bulk']",2,21
aloo-pyaz-paratha,Potato Onion Paratha,బఠాని ప్యాజ్ పరాతా,आलू प्याज पराठा,"['potato onion paratha', 'aloo pyaz paratha']",2,22
alphanjo-mango,Alphonso Mango,అల్ఫోన్సో మాంగో,अल्फोंसो आम,"['Alphonso Mango', 'Alphonso Mango Fruit']",2,23
alphanso-mango-icecream,Alphonso Mango Ice Cream,అల్ఫోన్సో మాంగో ఐస్ క్రీం,अल्फोंसो आम आइसक्रीम,"['Alphonso Mango Ice Cream', 'Alphonso Mango Dessert']",2,24
alphonso-cup,Alphonso Cup,అల్ఫోన్సో కప్,अल्फोंसो कप,"['Alphonso Cup', 'Alphonso Container']",2,25
alphonso-mango,Alphonso Mango,అల్ఫోన్సో మాంగో,अल्फोंसो मैंगो,"Alphonso Mango, Mango, Fruit",2,26
alphonso-mango-pulp,Alphonso Mango Pulp,అల్ఫోన్సో మాంగో పల్ప్,अल्फोंसो आम पल्प,"['Alphonso Mango Pulp', 'Alphonso Mango Juice Concentrate']",2,27
alsafa-chicken-nuggets,Al Safa Chicken Nuggets,అల్ సఫా చికెన్ నగెట్స్,अल साफ़ा चिकन नगेट्स,"Chicken Nuggets, Chicken, Snack",2,28
alsafa-chicken-patties,Al Safa Chicken Patties,అల్ సఫా చికెన్ పట్టీస్,अल साफ़ा चिकन पेट्टीज़,"Chicken Patties, Chicken, Snack",2,29
alsi,Asafoetida,అసాఫోటీడా,असाफ़ेटिडा,"Asafoetida, Hing, Spice",2,30
aluminum-wok-kahari,Aluminum Wok Kahari,అల్యూమినియం వాక్ కహరీ,अल्यूमिनियम वॉक काहारी,"Aluminum Wok, Wok, Cookware",3,1
amla-muraba,Amla Muraba,ఆమ్లా మురబా,आमला मुरब्बा,"['amla muraba', 'amla preserve', 'indian jam']",3,2
ammas,Amma's,అమ్మాస్,अम्मास,"[""amma's"", ""amma's products"", 'indian grocery']",3,3
ammas-iyer-mixture,Amma's Iyer Mixture,అమ్మాస్ ఐయర్ మిశ్రమం,अम्मास आयर मिश्रण,"[""amma's iyer mixture"", 'indian spice blend', 'south indian mix']",3,4
amrutanjan,Amrutanjan,అమృతాన్జన్,अमृतान्जन,"['amrutanjan', 'indian medicine', 'ayurvedic products']",3,5
amul,Amul Product,అముల్ ఉత్పత్తి,अमूल उत्पाद,"['amul', 'product']",3,6
amul-badam-6pack,Amul Badam 6 Pack,అముల్ బాదం 6 ప్యాక్,अमूल बादाम 6 पैक,"['amul badam', 'almond 6 pack', 'indian snacks']",3,7
amul-butter,Amul Butter,అముల్ బట్టర్,अमूल बटर,"['amul', 'butter']",3,8
amul-butter-salted,Amul Salted Butter,అముల్ సల్టెడ్ బట్టర్,अमूल नमकीन बटर,"['amul', 'salted', 'butter']",3,9
amul-butter-unsalted,Amul Unsalted Butter,అముల్ అన్‌సల్టెడ్ బట్టర్,अमूल नमकीन रहित बटर,"['amul', 'unsalted', 'butter']",3,10
amul-cheese,Amul Cheese,అముల్ చీజ్,अमूल चीज़,"['amul', 'cheese']",3,11
amul-cheese-block,Amul Cheese Block,అముల్ చీజ్ బ్లాక్,अमूल चीज़ ब्लॉक,"['amul', 'cheese', 'block']",3,12
amul-cheese-chiplet,Amul Cheese Chiplet,అముల్ చీజ్ చిప్లెట్,अमूल चीज़ चिपलेट,"['amul', 'cheese', 'chiplet']",3,13
amul-cheese-slices,Amul Cheese Slices,అముల్ చీజ్ స్లైస్,अमूल चीज़ स्लाइस,"['amul', 'cheese', 'slices']",3,14
amul-dry-fruit,Amul Dry Fruit,అముల్ ద్రవ్య పండ్లు,अमूल सूखे फल,"['amul', 'dry', 'fruit']",3,15
amul-malai-paneer-1-kg,Amul Malai Paneer 1 kg,అముల్ మలై పానీర్ 1 కిలో,अमूल मलाई पनीर 1 किलो,"['amul', 'malai', 'paneer']",3,16
amul-masti,Amul Masti,అముల్ మాస్టీ,अमूल मस्ती,"['amul', 'masti']",3,17
amul-paneer,Amul Paneer,అముల్ పానీర్,अमूल पनीर,"['paneer', 'amul', 'paneer cheese']",3,18
amul-pure-ghee,Amul Pure Ghee,అముల్ పూర్ గ్హీ,अमूल पूरा घी,"['ghee', 'pure ghee', 'amul']",3,19
